name,city,latitude,longitude,url
Amador,Wien,48.25406,16.35915,https://guide.michelin.com/at/en/vienna/wien/restaurant/amador
Manresa,South San Francisco,37.22761,-121.98071,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/manresa
Benu,San Francisco,37.78521,-122.39876,https://guide.michelin.com/us/en/california/san-francisco/restaurant/benu
Quince,San Francisco,37.79762,-122.40337,https://guide.michelin.com/us/en/california/san-francisco/restaurant/quince
Atelier Crenn,San Francisco,37.79835,-122.43586,https://guide.michelin.com/us/en/california/san-francisco/restaurant/atelier-crenn
The French Laundry,San Francisco,38.40443,-122.36474,https://guide.michelin.com/us/en/california/san-francisco/restaurant/the-french-laundry
The Restaurant at Meadowood,San Francisco,38.52025,-122.46479,https://guide.michelin.com/us/en/california/san-francisco/restaurant/the-restaurant-at-meadowood
SingleThread,San Francisco,38.612164,-122.869705,https://guide.michelin.com/us/en/california/san-francisco/restaurant/singlethread
Alinea,Chicago,41.91328,-87.64798,https://guide.michelin.com/us/en/illinois/chicago/restaurant/alinea
Geranium,København,55.70393,12.57197,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/geranium
T'ang Court,Hong Kong,22.296572,114.1698,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/t-ang-court
Bo Innovation,Hong Kong,22.27614,114.171,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/bo-innovation
Lung King Heen,Hong Kong,22.28665,114.15674,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/lung-king-heen
Caprice,Hong Kong,22.286646,114.15662,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/caprice
8½ Otto e Mezzo - Bombana,Hong Kong,22.28189,114.15839,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/8%C2%BD-otto-e-mezzo-bombana
L'Atelier de Joël Robuchon,Hong Kong,22.281199,114.15816,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/l-atelier-de-joel-robuchon
Sushi Shikon,Hong Kong,22.28511,114.15208,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/sushi-shikon
The Eight,Macau,22.190475,113.54341,https://guide.michelin.com/mo/en/macau-region/macau/restaurant/the-eight
Robuchon au Dôme,Macau,22.189949,113.54395,https://guide.michelin.com/mo/en/macau-region/macau/restaurant/robuchon-au-dome
Jade Dragon,Macau,22.149137,113.56715,https://guide.michelin.com/mo/en/macau-region/macau/restaurant/jade-dragon
Maaemo,Oslo,59.910477,10.760408,https://guide.michelin.com/no/en/oslo-region/oslo/restaurant/maaemo
Masa,New York,40.76855,-73.98335,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/masa
Per Se,New York,40.76828,-73.98292,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/per-se
Le Bernardin,New York,40.76177,-73.98223,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/le-bernardin
Eleven Madison Park,New York,40.7417,-73.98712,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/eleven-madison-park
Chef's Table at Brooklyn Fare,New York,40.68872,-73.98581,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/chef-s-table-at-brooklyn-fare
La Yeon,Seoul,37.555813,127.00517,https://guide.michelin.com/kr/en/seoul-capital-area/kr-seoul/restaurant/la-yeon
Gaon,Seoul,37.52265,127.03595,https://guide.michelin.com/kr/en/seoul-capital-area/kr-seoul/restaurant/gaon
Frantzén,Stockholm,59.33418,18.05812,https://guide.michelin.com/se/en/stockholm-region/stockholm/restaurant/frantzen
Le Palais,Taipei,25.049496,121.51674,https://guide.michelin.com/tw/en/taipei-region/taipei/restaurant/le-palais
The Inn at Little Washington,"Washington, D.C.",38.713623,-78.16208,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/the-inn-at-little-washington
Fat Duck,Bray,51.50828,-0.70232,https://guide.michelin.com/gb/en/buckinghamshire/bray/restaurant/fat-duck
Waterside Inn,Bray,51.50773,-0.70121,https://guide.michelin.com/gb/en/buckinghamshire/bray/restaurant/waterside-inn
Alain Ducasse at The Dorchester,Mayfair,51.50712,-0.1525201,https://guide.michelin.com/gb/en/greater-london/mayfair/restaurant/alain-ducasse-at-the-dorchester
The Araki,Mayfair,51.511826,-0.140389,https://guide.michelin.com/gb/en/greater-london/mayfair/restaurant/the-araki
Gordon Ramsay,Chelsea,51.48546,-0.1620201,https://guide.michelin.com/gb/en/greater-london/chelsea/restaurant/gordon-ramsay
